"id","name","description"
"intrastat_01063980","01063980","Ptice, druge, ostale (razen golobov), žive"
"intrastat_01064100","01064100","Čebele, žive"
"intrastat_01064900","01064900","Žuželke, druge, žive"
"intrastat_01069000","01069000","Druge živali, žive, drugje nerazporejene"
"intrastat_02","02","Meso in užitni klavnični proizvodi"
"intrastat_0201","0201","Meso, goveje, sveže ali ohlajeno"
"intrastat_02011000","02011000","Meso, goveje (trupi in polovice), sveže ali ohlajeno"
"intrastat_020120","020120","Meso, goveje, drugi kosi s kostmi, sveže ali ohlajeno"
"intrastat_02012020","02012020","Meso, goveje, s kostmi, kompenzirane četrti, sveže ali ohlajeno"
"intrastat_02012030","02012030","Meso, goveje, s kostmi, nerazkosane ali razkosane sprednje četrti, sveže ali ohlajeno"
"intrastat_02012050","02012050","Meso, goveje, s kostmi, nerazkosane ali razkosane zadnje četrti, sveže ali ohlajeno"
"intrastat_02012090","02012090","Meso, goveje, s kostmi, drugo, sveže ali ohlajeno"
"intrastat_02013000","02013000","Meso, goveje, brez kosti, sveže ali ohlajeno"
"intrastat_0202","0202","Meso, goveje, zamrznjeno"
"intrastat_02021000","02021000","Meso, goveje, trupi in polovice, zamrznjeno"
"intrastat_020220","020220","Meso, goveje, drugi kosi s kostmi, zamrznjeni"
"intrastat_02022010","02022010","Meso, goveje, s kostmi, kompenzirane četrti, zamrznjeno"
"intrastat_02022030","02022030","Meso, goveje, s kostmi, nerazkosane ali razkosane sprednje četrti, zamrznjeno"
"intrastat_02022050","02022050","Meso, goveje, s kostmi, nerazkosane ali razkosane zadnje četrti, zamrznjeno"
"intrastat_02022090","02022090","Meso, goveje, s kostmi, drugo, zamrznjeno"
"intrastat_020230","020230","Meso, goveje, brez kosti, zamrznjeno"
"intrastat_02023010","02023010","Meso, goveje, brez kosti, sprednje četrti, kompenzirane četrti, razen fileja v enem kosu, zamrznjeno"
"intrastat_02023050","02023050","Meso, goveje, brez kosti, vrat, pleče, plečna bržola in prsa s spodnjim delom plečeta, zamrznjeno"
"intrastat_02023090","02023090","Meso, goveje, brez kosti, drugi kosi, zamrznjeno"
"intrastat_0203","0203","Meso, prašičje, sveže, ohlajeno ali zamrznjeno"
"intrastat_020311","020311","Meso, prašičje, trupi in polovice, sveže ali ohlajeno"
"intrastat_02031110","02031110","Meso, domačih prašičev, trupi in polovice, sveže ali ohlajeno"
"intrastat_02031190","02031190","Meso, prašičje (razen domačih prašičev), trupi in polovice, sveže ali ohlajeno"
"intrastat_020312","020312","Meso, prašičje, šunke, plečeta in njihovi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_02031211","02031211","Meso, domačih prašičev, šunke in njihovi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_02031219","02031219","Meso, domačih prašičev, plečeta in njihovi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_02031290","02031290","Meso, prašičje (razen domačih prašičev), šunke, plečeta in njihovi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_020319","020319","Meso, prašičje, drugi kosi, sveže ali ohlajeno"
"intrastat_02031911","02031911","Meso, domačih prašičev, prednji deli in njihovi kosi, sveže ali ohlajeno"
"intrastat_02031913","02031913","Meso, domačih prašičev, hrbet in njihovi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_02031915","02031915","Meso, domačih prašičev, prsi s potrebušino in njihovi kosi, sveže ali ohlajeno"
"intrastat_02031955","02031955","Meso, domačih prašičev, drugi kosi, brez kosti, sveže ali ohlajeno"
"intrastat_02031959","02031959","Meso, domačih prašičev, drugi kosi, drugo, sveže ali ohlajeno"
"intrastat_02031990","02031990","Meso, prašičje (razen domačih prašičev), drugi kosi, sveže ali ohlajeno"
"intrastat_020321","020321","Meso, prašičje, trupi in polovice, zamrznjeno"
"intrastat_02032110","02032110","Meso, domačih prašičev, trupi in polovice, zamrznjeno"
"intrastat_02032190","02032190","Meso, prašičje, trupi in polovice, zamrznjeno"
"intrastat_020322","020322","Meso, prašičje, šunke, plečeta in njihovi kosi, s kostmi, zamrznjeno"
"intrastat_02032211","02032211","Meso, domačih prašičev, šunke in njihovi kosi, s kostmi, zamrznjeno"
"intrastat_02032219","02032219","Meso, domačih prašičev, plečeta in njihovi kosi, s kostmi, zamrznjeno"
"intrastat_02032290","02032290","Meso, prašičje (razen domačih prašičev), šunke, plečeta in njihovi kosi, s kostmi, zamrznjeno"
"intrastat_020329","020329","Meso prašičje, drugi kosi, zamrznjeno"
"intrastat_02032911","02032911","Meso domačih prašičev, prednji deli in njihovi kosi, zamrznjeno"
"intrastat_02032913","02032913","Meso domačih prašičev, ledja in njihovi kosi, s kostmi, zamrznjeno"
"intrastat_02032915","02032915","Meso domačih prašičev, prsi s potrebušino in njihovi kosi, zamrznjeno"
"intrastat_02032955","02032955","Meso domačih prašičev, drugi kosi, brez kosti, zamrznjeno"
"intrastat_02032959","02032959","Meso domačih prašičev, drugi kosi, drugo, zamrznjeno"
"intrastat_02032990","02032990","Meso prašičje, drugi kosi, zamrznjeno"
"intrastat_0204","0204","Meso ovčje ali kozje, sveže, ohlajeno ali zamrznjeno"
"intrastat_02041000","02041000","Jagnjetina (trupi in polovice), sveže ali ohlajeno"
"intrastat_02042100","02042100","Meso ovčje (trupi in polovice), sveže ali ohlajeno"
"intrastat_020422","020422","Meso ovčje, drugi kosi s kostmi, sveže ali ohlajeno"
"intrastat_02042210","02042210","Meso ovčje, skrajšane sprednje četrti, s kostmi, sveže ali ohlajeno"
"intrastat_02042230","02042230","Meso ovčje, zarebrnice oziroma fileji, s kostmi, sveže ali ohlajeno"
"intrastat_02042250","02042250","Meso ovčje, noge s kostmi, sveže ali ohlajeno"
"intrastat_02042290","02042290","Meso ovčje, drugi kosi, s kostmi, sveže ali ohlajeno"
"intrastat_02042300","02042300","Meso ovčje, brez kosti, sveže ali ohlajeno"
"intrastat_02043000","02043000","Jagnjetina (trupi in polovice), zamrznjena"
"intrastat_02044100","02044100","Meso ovčje (trupi in polovice), zamrznjeno"
"intrastat_020442","020442","Meso ovčje, drugi kosi s kostmi, zamrznjeno"
"intrastat_02044210","02044210","Meso ovčje, skrajšane sprednje četrti, s kostmi, zamrznjeno"
"intrastat_02044230","02044230","Meso ovčje, zarebrnice oziroma fileji, s kostmi, zamrznjeno"
"intrastat_02044250","02044250","Meso ovčje, noge s kostmi, zamrznjeno"
"intrastat_02044290","02044290","Meso ovčje, drugi kosi, s kostmi, drugo, zamrznjeno"
"intrastat_020443","020443","Meso ovčje, brez kosti, zamrznjeno"
"intrastat_02044310","02044310","Jagnjetina, brez kosti, zamrznjena"
"intrastat_02044390","02044390","Meso ovčje, brez kosti, drugo, zamrznjeno"
"intrastat_020450","020450","Meso kozje, sveže, ohlajeno ali zamrznjeno"
"intrastat_02045011","02045011","Meso kozje (trupi in polovice), sveže ali ohlajeno"
"intrastat_02045013","02045013","Meso kozje, skrajšane sprednje četrti, sveže ali ohlajeno"
"intrastat_02045015","02045015","Meso kozje, zarebrnice oziroma fileji, sveže ali ohlajeno"
"intrastat_02045019","02045019","Meso kozje, noge, sveže ali ohlajeno"
"intrastat_02045031","02045031","Meso kozje, drugi kosi s kostmi, sveže ali ohlajeno"
"intrastat_02045039","02045039","Meso kozje, drugi kosi brez kosti, sveže ali ohlajeno"
"intrastat_02045051","02045051","Meso kozje (trupi in polovice), zamrznjeno"
"intrastat_02045053","02045053","Meso kozje, skrajšane sprednje četrti, zamrznjeno"
"intrastat_02045055","02045055","Meso kozje, zarebrnice oziroma fileji, zamrznjeno"
"intrastat_02045059","02045059","Meso kozje, noge, zamrznjeno"
"intrastat_02045071","02045071","Meso kozje, drugi kosi s kostmi, zamrznjeno"
"intrastat_02045079","02045079","Meso kozje, drugi kosi brez kosti, zaamrznjeno"
"intrastat_020500","020500","Meso konj, oslov, mul in mezgov, sveže, ohlajeno ali zamrznjeno"
"intrastat_02050020","02050020","Meso konj, oslov, mul in mezgov, sveže ali ohlajeno"
"intrastat_02050080","02050080","Meso konj, oslov, mul in mezgov, zamrznjeno"
"intrastat_0206","0206","Užitni klavnični izdelki iz govejega, svinjskega, ovčjega, kozjega in konjskega mesa ter mesa oslov ali mesa mul in mezgov, sveži, ohlajeni ali zamrznjeni"
"intrastat_020610","020610","Užitni klavnični izdelki iz govejega mesa, sveže ali ohlajeno"
"intrastat_02061010","02061010","Užitni klavnični izdelki iz govejega mesa za proizvodnjo farmacevtskih izdelkov, sveže ali ohlajeno"
"intrastat_02061095","02061095","Užitni klavnični izdelki iz govejega mesa, misični del (stebriček) in rebrni del trebušne prepone, sveže ali ohlajeno"
"intrastat_02061098","02061098","Užitni klavnični izdelki iz govejega mesa, sveže ali ohlajeno, drugo"
"intrastat_02062100","02062100","Užitni klavnični izdelki iz govejega mesa, jeziki, zamrznjeno"
"intrastat_02062200","02062200","Užitni klavnični izdelki iz govejega mesa, jetra, zamrznjeno"
"intrastat_020629","020629","Užitni klavnični izdelki iz govejega mesa, drugo, zamrznjeno"
"intrastat_02062910","02062910","Drugi užitni klavnični izdelki iz govejega mesa, za proizvodnjo farmacevtskih izdelkov, zamrznjeno"
"intrastat_02062991","02062991","Drugi užitni klavnični izdelki iz govejega mesa, notranja prepona, mišična in tetivna,zamrznjeno"
"intrastat_02062999","02062999","Drugi užitni klavnični izdelki iz govejega mesa, drugi kosi, zamrznjeno"
"intrastat_02063000","02063000","Užitni klavnični izdelki iz mesa prašičev, sveže ali ohlajeno"
"intrastat_02064100","02064100","Užitni klavnični izdelki iz prašičjega mesa, jetra, zamrznjeno"
"intrastat_02064900","02064900","Užitni klavnični izdelki iz prašičjega mesa, zamrznjeno, drugi"
"intrastat_020680","020680","Drugi užitni klavnični izdelki, sveži ali ohlajeni"
"intrastat_02068010","02068010","Drugi užitni klavnični izdelki za proizvodnjo farmacevtskih izdelkov, sveži ali ohlajeni"
"intrastat_02068091","02068091","Drugi užitni klavnični izdelki iz mesa konj, oslov, mul in mezgov, drugi, sveže ali ohlajeno"
"intrastat_02068099","02068099","Drugi užitni klavnični izdelki iz mesa ovac in koz, drugi, sveži ali ohlajeni"
"intrastat_020690","020690","Drugi užitni klavnični izdelki, zamrznjeno"
"intrastat_02069010","02069010","Drugi užitni klavnični izdelki za proizvodnjo farmacevtskih izdelkov, zamrznjeno"
"intrastat_02069091","02069091","Drugi užitni klavnični izdelki iz mesa konj, oslov, mul in mezgov, drugi, zamrznjeno"
"intrastat_02069099","02069099","Drugi užitni klavnični izdelki iz mesa ovac in koz, drugi, zamrznjeni"
"intrastat_0207","0207","Meso in užitni odpadki perutnine iz tar.št. 0105, sveže, ohlajeno ali zamrznjeno"
"intrastat_020711","020711","Kokoši, domače, nerazrezane na kose, sveže ali ohlajene"
"intrastat_02071110","02071110","Kokoši, domače, nerazrezane na kose, oskubljene in očiščene, z glavami in nogami, znane kot (83% piščanci), sveže ali ohlajene"
"intrastat_02071130","02071130","Kokoši, domače, nerazrezane na kose, oskubljene in očiščene, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki, znane kot (70%piščanci), sveže ali ohlajene"
"intrastat_02071190","02071190","Kokoši, domače, nerazrezane na kose, oskubljene in očiščene, brez glav, nog ter vratov, src, jeter in želodčkov, znane kot (65% piščanci) ali pod drugim nazivom, sveže ali ohlajene"
"intrastat_020712","020712","Kokoši, domače, nerazrezane na kose, zamrznjene"
"intrastat_02071210","02071210","Kokoši, domače, nerazrezane na kose, oskubljene in očiščene, brez glav in nog, vendar z vratovi, srčki, jetri in želodčki, znane kot (70%piščanci), zamrznjene"
"intrastat_02071290","02071290","Kokoši, domače, nerazrezane na kose, oskubljene in očiščene, brez glav, nog ter vratov, src, jeter in želodčkov, znane kot (65% piščanci) ali pod drugim nazivom, zamrznjene"
"intrastat_020713","020713","Kokoši, domače, kosi in drobovje, sveži ali ohlajeni"
"intrastat_02071310","02071310","Kokoši, domače, kosi, brez kosti, sveži ali ohlajeni"
"intrastat_02071320","02071320","Kokoši, domače, kosi, s kostmi, polovice ali četrtine, sveži ali ohlajeni"
"intrastat_02071330","02071330","Kokoši, domače, kosi, s kostmi, cela krila z ali brez vršičkov, sveži ali ohlajeni"
"intrastat_02071340","02071340","Kokoši, domače, kosi, s kostmi, hrbtišča, vratovi, hrbtišča z vratovi, škofije, vršički kril, sveži ali ohlajeni"
"intrastat_02071350","02071350","Kokoši, domače, kosi, s kostmi, prsa in kosi prs, sveži ali ohlajeni"
"intrastat_02071360","02071360","Kokoši, domače, kosi, s kostmi, noge in kosi nog, sveži ali ohlajeni"
"intrastat_02071370","02071370","Kokoši, domače, kosi, s kostmi, drugi kosi, sveži ali ohlajeni"
"intrastat_02071391","02071391","Kokoši, domače, drobovje, jetra, sveža ali ohlajena"
"intrastat_02071399","02071399","Kokoši, domače, drobovje, drugo, sveže ali ohlajeno"
"intrastat_020714","020714","Kokoši, domače, kosi in drobovje, zamrznjeni"
